County,rank by rate,labor force,employment,unemployment,rate%
ALAMEDA,10,770000,721600,48300,6.30
ALPINE,23,470,430,40,8.40
AMADOR,28,15790,14370,1430,9.00
BUTTE,29,101200,91900,9200,9.10
CALAVERAS,32,18710,16940,1770,9.40
COLUSA,57,11280,8980,2310,20.50
CONTRA COSTA,11,532500,498500,34000,6.40
DEL NORTE,39,10770,9620,1150,10.70
EL DORADO,17,89200,82800,6400,7.20
FRESNO,51,430200,376400,53700,12.50
GLENN,45,12460,11050,1410,11.30
HUMBOLDT,21,59100,54700,4400,7.50
IMPERIAL,58,76600,59400,17200,22.50
INYO,16,9020,8370,640,7.10
KERN,39,396700,354100,42600,10.70
KINGS,53,59700,52100,7600,12.80
LAKE,47,23900,21020,2890,12.10
LASSEN,35,12440,11180,1260,10.10
LOS ANGELES,26,4940200,4506400,433800,8.80
MADERA,39,68400,61000,7300,10.70
MARIN,1,142900,136900,6000,4.20
MARIPOSA,27,9440,8600,840,8.90
MENDOCINO,20,41360,38310,3050,7.40
MERCED,55,109400,93800,15600,14.20
MODOC,38,3670,3280,390,10.60
MONO,17,8480,7880,610,7.20
MONTEREY,43,217400,193500,23900,11.00
NAPA,8,76900,72400,4500,5.90
NEVADA,14,49700,46380,3320,6.70
ORANGE,4,1633100,1547500,85600,5.20
PLACER,13,176800,165300,11600,6.50
PLUMAS,46,8910,7860,1050,11.80
RIVERSIDE,29,939800,854400,85500,9.10
SACRAMENTO,22,672300,620800,51600,7.70
SAN BENITO,36,26800,24000,2800,10.40
SAN BERNARDINO,25,855700,781300,74400,8.70
SAN DIEGO,11,1596900,1495200,101800,6.40
SAN FRANCISCO,3,484200,461200,23100,4.80
SAN JOAQUIN,47,292000,256600,35500,12.10
SAN LUIS OBISPO,5,143100,135100,8100,5.60
SAN MATEO,2,401400,383100,18300,4.60
SANTA BARBARA,9,227800,213700,14100,6.20
SANTA CLARA,6,926700,874000,52700,5.70
SANTA CRUZ,31,150800,136900,13900,9.20
SHASTA,34,78600,70900,7700,9.80
SIERRA,42,1520,1350,160,10.80
SISKIYOU,51,17900,15670,2230,12.50
SOLANO,19,219400,203300,16100,7.30
SONOMA,6,256600,242000,14600,5.70
STANISLAUS,49,233000,204500,28400,12.20
SUTTER,56,42400,36200,6200,14.50
TEHAMA,36,24450,21910,2540,10.40
TRINITY,44,4700,4180,520,11.10
TULARE,54,201800,174700,27100,13.40
TUOLUMNE,24,24680,22580,2110,8.50
VENTURA,15,438900,408800,30100,6.90
YOLO,33,98300,89000,9300,9.50
YUBA,49,27000,23700,3300,12.20
